EventID,Event_Name,Event_Date,SeriesID
29,'Run With the Kokenee',2015-10-17,0.0
28,'St Edward Harvest Half',2015-10-10,2.0
27,'End of Summer Run',2015-09-26,0.0
26,'Cedar River Trail Run',2015-09-12,0.0
25,'Interlaken Ice Cream Dash',2015-08-25,3.0
24,'Summer Blast',2015-08-22,3.0
23,'Summer Eddy',2015-08-11,3.0
22,'Pie High Trail Run',2015-07-26,2.0
21,'Seward Sizzler',2015-07-21,3.0
20,'Carkeek Warmer',2015-07-07,3.0
19,'Sunshine Salutation',2015-06-23,3.0
18,'Rattlesnake Ridge Run',2015-06-20,2.0
17,'Ravenna Run the Ravine',2015-06-09,3.0
16,'Teanaway Trail Run',2015-05-31,2.0
15,'Spring Eagle Trail Run',2015-04-26,2.0
14,'Rock Creek Ramble',2015-04-11,0.0
13,'Cedar Mountain Trail Run',2015-03-14,0.0
12,'Spring Run for Fun',2015-03-08,2.0
11,'Fort Ebey Kettles Trail Run',2015-02-15,2.0
10,'Frost Eagle',2015-02-07,1.0
9,'Interlaken Icicle Dash',2015-01-24,1.0
8,'Absolution Run',2015-01-04,1.0
